"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2019","2019",457,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",411,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2021","2021",434,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2022","2022",426,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2023","2023",451,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2024","2024",504,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2019","2019",438,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",423,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2021","2021",464,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2022","2022",397,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2023","2023",481,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2024","2024",416,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",895,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",834,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2021","2021",898,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2022","2022",823,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2023","2023",932,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2024","2024",920,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2019","2019",722,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",720,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2021","2021",677,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2022","2022",688,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2023","2023",716,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2024","2024",658,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2019","2019",703,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",621,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2021","2021",687,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2022","2022",682,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2023","2023",668,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2024","2024",619,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2019","2019",1425,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1341,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2021","2021",1364,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2022","2022",1370,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2023","2023",1384,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2024","2024",1277,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2019","2019",966,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",908,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2021","2021",855,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2022","2022",903,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2023","2023",833,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2024","2024",946,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2019","2019",1475,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",1433,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2021","2021",1367,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2022","2022",1384,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2023","2023",1368,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2024","2024",1382,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2019","2019",733,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",712,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2021","2021",638,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2022","2022",692,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2023","2023",686,,
