y_pred_hmm_multi_state,y_pred_hmm_one_state,y_test,y_pred_glm,error_hmm_ms,error_hmm_os,error_glm,error_glm_rounded,error_hmm_ms_rounded,error_hmm_os_rounded
0.5689478,0.00082397077,0,1,1.0,0.0,1,1,1,0
1.3259287,2.400095,1,1,0.0,1.0,0,0,0,1
1.3259287,2.400095,0,1,1.0,2.0,1,1,1,2
0.9043235,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.8568286,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.0516639,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.3362692,0.00013453902,0,1,0.0,0.0,1,1,0,0
1.5707287,2.4977822,1,1,1.0,1.0,0,0,1,1
0.722519,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.722519,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.3259287,2.400095,0,1,1.0,2.0,1,1,1,2
0.5140437,0.0005521052,0,1,1.0,0.0,1,1,1,0
0.37640673,0.00013453902,0,1,0.0,0.0,1,1,0,0
0.9043235,0.0011534608,3,1,-2.0,-3.0,-2,-2,-2,-3
1.5707287,2.4977822,3,1,-1.0,-1.0,-2,-2,-1,-1
1.0020081,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.4196578,2.400095,2,1,-1.0,0.0,-1,-1,-1,0
1.3259287,2.400095,1,1,0.0,1.0,0,0,0,1
0.28392783,0.00013453902,1,1,-1.0,-1.0,0,0,-1,-1
0.95280325,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.95280325,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
1.0020081,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.2780123,2.400095,2,1,-1.0,0.0,-1,-1,-1,0
1.5707287,2.4977822,1,1,1.0,1.0,0,0,1,1
0.26859975,0.00013453902,1,1,-1.0,-1.0,0,0,-1,-1
0.3003109,0.00013453902,2,1,-2.0,-2.0,-1,-1,-2,-2
1.4855514,2.3191764,0,1,1.0,2.0,1,1,1,2
1.6135185,2.4977822,2,1,0.0,0.0,-1,-1,0,0
0.47835183,0.00082397077,0,1,0.0,0.0,1,1,0,0
1.376934,2.3191764,0,1,1.0,2.0,1,1,1,2
1.3732252,2.400095,2,1,-1.0,0.0,-1,-1,-1,0
0.6946604,1.3974426,1,1,0.0,0.0,0,0,0,0
1.3732252,2.400095,0,1,1.0,2.0,1,1,1,2
1.3732252,2.400095,3,1,-2.0,-1.0,-2,-2,-2,-1
1.4344742,2.3191764,2,1,-1.0,0.0,-1,-1,-1,0
1.3732252,2.400095,1,1,0.0,1.0,0,0,0,1
1.6135185,2.4977822,0,1,2.0,2.0,1,1,2,2
1.6547484,2.4977822,0,1,2.0,2.0,1,1,2,2
0.5689478,0.00082397077,1,1,0.0,-1.0,0,0,0,-1
1.4065269,2.3191764,0,1,1.0,2.0,1,1,1,2
1.376934,2.3191764,0,1,1.0,2.0,1,1,1,2
1.0516639,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
0.67044383,0.00019281147,0,1,1.0,0.0,1,1,1,0
1.376934,2.3191764,0,1,1.0,2.0,1,1,1,2
1.5707287,2.4977822,2,1,0.0,0.0,-1,-1,0,0
0.67044383,0.00019281147,1,1,0.0,-1.0,0,0,0,-1
1.3732252,2.400095,2,1,-1.0,0.0,-1,-1,-1,0
0.9043235,0.0011534608,0,1,1.0,0.0,1,1,1,0
0.95280325,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.2297367,2.400095,0,1,1.0,2.0,1,1,1,2
1.694305,2.4977822,1,1,1.0,1.0,0,0,1,1
1.2780123,2.400095,2,1,-1.0,0.0,-1,-1,-1,0
1.4196578,2.400095,0,1,1.0,2.0,1,1,1,2
0.3362692,0.00013453902,0,1,0.0,0.0,1,1,0,0
1.694305,2.4977822,0,1,2.0,2.0,1,1,2,2
0.5689478,0.00082397077,0,1,1.0,0.0,1,1,1,0
0.3362692,0.00013453902,0,1,0.0,0.0,1,1,0,0
1.2780123,2.400095,2,1,-1.0,0.0,-1,-1,-1,0
0.810558,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.95280325,0.0011534608,2,1,-1.0,-2.0,-1,-1,-1,-2
1.0516639,0.0011534608,1,1,0.0,-1.0,0,0,0,-1
0.810558,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.0020081,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.0516639,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.3732252,2.400095,0,1,1.0,2.0,1,1,1,2
1.2297367,2.400095,0,1,1.0,2.0,1,1,1,2
1.4196578,2.400095,2,1,-1.0,0.0,-1,-1,-1,0
1.0020081,0.0011534608,0,1,1.0,0.0,1,1,1,0
1.0516639,0.0011534608,3,1,-2.0,-3.0,-2,-2,-2,-3
0.26859975,0.00013453902,0,1,0.0,0.0,1,1,0,0
1.3259287,2.400095,1,1,0.0,1.0,0,0,0,1
1.6135185,2.4977822,0,1,2.0,2.0,1,1,2,2
0.3003109,0.00013453902,0,1,0.0,0.0,1,1,0,0
1.3259287,2.400095,0,1,1.0,2.0,1,1,1,2
1.2297367,2.400095,1,1,0.0,1.0,0,0,0,1
