y_pred_hmm_multi_state,y_pred_hmm_one_state,y_test,y_pred_glm,error_hmm_ms,error_hmm_os,error_glm,error_glm_rounded,error_hmm_ms_rounded,error_hmm_os_rounded
1.3640109,1.1119618,0,1.0,1.0,1.0,1.0,1,1,1
2.4512558,2.4642632,4,1.0,-2.0,-2.0,-3.0,-3,-2,-2
1.29741,1.4946336,1,1.0,0.0,0.0,0.0,0,0,0
0.8766799,0.91817445,1,1.0,0.0,0.0,0.0,0,0,0
0.4570367,0.43217346,0,1.0,0.0,0.0,1.0,1,0,0
1.1419237,1.136288,0,1.0,1.0,1.0,1.0,1,1,1
1.0266167,0.89851767,1,1.0,0.0,0.0,0.0,0,0,0
1.3640109,1.1119618,1,1.0,0.0,0.0,0.0,0,0,0
0.43864766,0.08248525,2,1.0,-2.0,-2.0,-1.0,-1,-2,-2
1.1419237,1.136288,3,1.0,-2.0,-2.0,-2.0,-2,-2,-2
0.9356951,0.9150371,1,1.0,0.0,0.0,0.0,0,0,0
1.1419237,1.136288,1,1.0,0.0,0.0,0.0,0,0,0
1.3640109,1.1119618,0,1.0,1.0,1.0,1.0,1,1,1
0.21598741,0.1903871,1,1.0,-1.0,-1.0,0.0,0,-1,-1
1.9031994,2.3017356,2,1.0,0.0,0.0,-1.0,-1,0,0
0.2152786,0.15390824,0,1.0,0.0,0.0,1.0,1,0,0
2.332,2.3566632,3,1.0,-1.0,-1.0,-2.0,-2,-1,-1
0.21598741,0.1903871,1,1.0,-1.0,-1.0,0.0,0,-1,-1
2.2381532,2.4642632,1,1.0,1.0,1.0,0.0,0,1,1
0.9701776,0.9701925,0,1.0,1.0,1.0,1.0,1,1,1
0.43864766,0.08248525,1,1.0,-1.0,-1.0,0.0,0,-1,-1
1.3640109,1.1119618,0,1.0,1.0,1.0,1.0,1,1,1
0.2152786,0.15390824,0,1.0,0.0,0.0,1.0,1,0,0
0.9701776,0.9701925,0,1.0,1.0,1.0,1.0,1,1,1
2.2381532,2.4642632,2,1.0,0.0,0.0,-1.0,-1,0,0
2.2381532,2.4642632,1,1.0,1.0,1.0,0.0,0,1,1
2.3554468,2.3566632,3,1.0,-1.0,-1.0,-2.0,-2,-1,-1
1.2109928,1.1324054,1,1.0,0.0,0.0,0.0,0,0,0
0.43864766,0.08248525,2,1.0,-2.0,-2.0,-1.0,-1,-2,-2
1.9913943,2.3566632,2,1.0,0.0,0.0,-1.0,-1,0,0
